phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,srcset,sizes,responsive_candidates,responsive_missing,issues
baseline,https://docs.kujolang.ai/tools/ai-sdk/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/assetworks/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/assetworks/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/bluepencil/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/bluepencil/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/casefile/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/casefile/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/changebucket/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/changebucket/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/commerce/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/commerce/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/concord/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/concord/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/contentgraph/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/contentgraph/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/dispatch/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/dispatch/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/dossier/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/dossier/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/eval/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/eval/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/fence/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/fence/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/galleypack/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/galleypack/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/howl/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/howl/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/kennel/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/kennel/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/kujo/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/kujo/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/leash/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/leash/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
