phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/tools/watchdog/,Watchdog,article,200,https://docs.kujolang.ai/tools/watchdog/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/tools/runledger/,RunLedger,article,200,https://docs.kujolang.ai/tools/runledger/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/build/agent-credentials/,configure credentials and connectors,article,200,https://docs.kujolang.ai/build/agent-credentials/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/build/agent-operations/,review operational controls,article,200,https://docs.kujolang.ai/build/agent-operations/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/build/owned-agent-projects/,Previous,nav,200,https://docs.kujolang.ai/build/owned-agent-projects/,0,rendered local route,prev,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/build/agent-credentials/,Next,nav,200,https://docs.kujolang.ai/build/agent-credentials/,0,rendered local route,next,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/reference/,Reference,nav,200,https://docs.kujolang.ai/reference/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/support/,Support,nav,200,https://docs.kujolang.ai/support/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/release-boundaries/,Release boundaries,nav,200,https://docs.kujolang.ai/release-boundaries/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/agent-profiles/,https://docs.kujolang.ai/llms.txt,llms.txt,nav,200,https://docs.kujolang.ai/llms.txt,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/,Docs,header,200,https://docs.kujolang.ai/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/start-here/,Start here,nav,200,https://docs.kujolang.ai/start-here/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/learn/,Learn Kujo,nav,200,https://docs.kujolang.ai/learn/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/build/,Build with Kujo,nav,200,https://docs.kujolang.ai/build/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/ecosystem/providers/,Providers,nav,200,https://docs.kujolang.ai/ecosystem/providers/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/tools/,Tools,nav,200,https://docs.kujolang.ai/tools/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/showcases/,Showcases,nav,200,https://docs.kujolang.ai/showcases/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/start-here/,Start here,aside,200,https://docs.kujolang.ai/start-here/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/install/,Install Kujo,aside,200,https://docs.kujolang.ai/install/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/quickstart/,Quickstart,aside,200,https://docs.kujolang.ai/quickstart/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/choose-a-path/,Choose a path,aside,200,https://docs.kujolang.ai/choose-a-path/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/learn/,Learn Kujo,aside,200,https://docs.kujolang.ai/learn/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/build/,Build with Kujo,aside,200,https://docs.kujolang.ai/build/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/review/,Reviewable work,aside,200,https://docs.kujolang.ai/review/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/tools/,Tools,aside,200,https://docs.kujolang.ai/tools/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/showcases/,Showcases,aside,200,https://docs.kujolang.ai/showcases/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/collections/,Collections,aside,200,https://docs.kujolang.ai/collections/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/ecosystem/,Ecosystem,aside,200,https://docs.kujolang.ai/ecosystem/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/reference/,Reference,aside,200,https://docs.kujolang.ai/reference/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/security/,Security model,aside,200,https://docs.kujolang.ai/security/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/release-boundaries/,Release boundaries,aside,200,https://docs.kujolang.ai/release-boundaries/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/support/,Support,aside,200,https://docs.kujolang.ai/support/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/build/owned-agent-projects/,Agent Projects,article,200,https://docs.kujolang.ai/build/owned-agent-projects/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/build/agent-profiles/,profile,article,200,https://docs.kujolang.ai/build/agent-profiles/,0,rendered local route,,none
after,https://docs.kujolang.ai/build/ai-and-agents/,https://docs.kujolang.ai/build/agent-credentials/,credentials,article,200,https://docs.kujolang.ai/build/agent-credentials/,0,rendered local route,,none
